 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
    113   ACS1          3.063857     0.989466                               3.094935           40.6        10
    113 Discop          2.613811     0.888411                               2.927480           45.5        10
    113   ACS2          3.128065     0.980383                               3.196303           37.7        10
    114   ACS1          2.822786     0.985529                               2.863229           41.1        10
    114 Discop          2.642529     0.891672                               2.959646           44.0        10
    114   ACS2          3.029727     0.981809                               3.099640           40.0        10
    115   ACS1          3.082791     0.981048                               3.147374           38.5        10
    115 Discop          2.797987     0.881519                               3.163206           43.0        10
    115   ACS2          2.932265     0.989007                               2.963040           40.0        10
    116   ACS1          2.943200     0.983474                               2.991056           40.8        10
    116 Discop          2.754796     0.884164                               3.100323           46.1        10
    116   ACS2          3.187433     0.984899                               3.233307           37.6        10
    117   ACS1          2.993833     0.991891                               3.019745           40.1        10
    117 Discop          2.536860     0.887407                               2.836112           49.2        10
    117   ACS2          2.604014     0.987481                               2.636665           45.5        10
    118   ACS1          2.820804     0.977619                               2.891023           43.6        10
    118 Discop          2.693698     0.883379                               3.048846           44.6        10
    118   ACS2          2.614189     0.992400                               2.632952           46.5        10
    119   ACS1          2.930912     0.978129                               3.002059           41.7        10
    119 Discop          2.986438     0.896183                               3.331707           43.1        10
    119   ACS2          3.100180     0.987428                               3.140704           40.3        10
    120   ACS1          2.863329     0.979368                               2.926819           42.9        10
    120 Discop          3.206342     0.897512                               3.561359           40.0        10
    120   ACS2          2.647195     0.983959                               2.689496           46.5        10
    121   ACS1          2.695175     0.984025                               2.739851           45.2        10
    121 Discop          2.795608     0.890826                               3.132543           44.6        10
    121   ACS2          3.108752     0.989046                               3.142653           39.7        10
    122   ACS1          3.017456     0.976985                               3.086639           41.8        10
    122 Discop          2.712344     0.888438                               3.049556           47.3        10
    122   ACS2          2.918729     0.990487                               2.944241           44.5        10
    123   ACS1          2.908103     0.981949                               2.967384           43.0        10
    123 Discop          2.862927     0.877382                               3.257574           44.7        10
    123   ACS2          2.893607     0.990632                               2.920885           45.1        10
    124   ACS1          2.915554     0.983687                               2.960589           44.1        10
    124 Discop          2.777533     0.897285                               3.074066           49.2        10
    124   ACS2          2.904516     0.990865                               2.931281           44.3        10
    125   ACS1          3.174029     0.983093                               3.221990           41.8        10
    125 Discop          3.066370     0.893504                               3.423675           41.9        10
    125   ACS2          2.650080     0.980523                               2.701613           49.5        10
    126   ACS1          3.075923     0.982360                               3.127512           42.2        10
    126 Discop          2.334055     0.858198                               2.710703           56.8        10
    126   ACS2          3.400371     0.988271                               3.442604           38.3        10
    127   ACS1          2.591155     0.986765                               2.628237           50.7        10
    127 Discop          2.434279     0.862826                               2.810613           53.9        10
    127   ACS2          2.899770     0.980767                               2.960769           44.5        10
    128   ACS1          2.782900     0.990623                               2.808805           47.2        10
    128 Discop          2.992386     0.885591                               3.373615           44.0        10
    128   ACS2          3.087032     0.989250                               3.121747           42.0        10
    129   ACS1          2.996489     0.985853                               3.035301           44.4        10
    129 Discop          2.547587     0.877617                               2.904205           51.7        10
    129   ACS2          2.842589     0.991853                               2.871729           48.8        10
    130   ACS1          2.855145     0.985160                               2.904746           47.7        10
    130 Discop          2.553706     0.865260                               2.940863           53.8        10
    130   ACS2          3.238795     0.978625                               3.307080           42.2        10
    131   ACS1          2.986178     0.979633                               3.045957           44.9        10
    131 Discop          2.732120     0.873746                               3.120979           49.5        10
    131   ACS2          2.953956     0.993847                               2.972728           45.1        10
    132   ACS1          3.085898     0.979689                               3.160784           44.4        10
    132 Discop          2.621872     0.877830                               2.990151           51.4        10
    132   ACS2          3.134348     0.985771                               3.186412           43.6        10
    133   ACS1          2.829628     0.984923                               2.871614           49.7        10
    133 Discop          2.664911     0.907251                               2.930852           53.1        10
    133   ACS2          2.904940     0.976289                               2.979621           48.0        10
    134   ACS1          2.801755     0.988645                               2.834270           48.8        10
    134 Discop          2.742183     0.890569                               3.083014           50.8        10
    134   ACS2          2.943943     0.993761                               2.962377           46.5        10
    135   ACS1          2.762746     0.983283                               2.813184           49.7        10
    135 Discop          2.869946     0.892104                               3.206487           51.1        10
    135   ACS2          2.651194     0.985951                               2.688423           52.3        10
    136   ACS1          3.209325     0.994148                               3.226748           43.2        10
    136 Discop          2.359394     0.886959                               2.646875           62.3        10
    136   ACS2          3.127575     0.985473                               3.175334           44.7        10
    137   ACS1          2.993790     0.991751                               3.017354           47.1        10
    137 Discop          2.348936     0.871083                               2.696669           62.0        10
    137   ACS2          2.824528     0.986776                               2.860167           49.8        10
    138   ACS1          2.948746     0.978949                               3.013625           48.7        10
    138 Discop          2.603622     0.893463                               2.910783           55.4        10
    138   ACS2          2.963183     0.982130                               3.019555           49.4        10
    139   ACS1          2.914000     0.979292                               2.978836           48.8        10
    139 Discop          2.610569     0.889771                               2.920832           55.3        10
    139   ACS2          2.765407     0.988980                               2.796386           51.0        10
    140   ACS1          3.032658     0.984416                               3.077320           49.2        10
    140 Discop          2.705085     0.908980                               2.967837           54.7        10
    140   ACS2          3.529988     0.990139                               3.567226           41.3        10
    141   ACS1          3.095983     0.981310                               3.154348           47.2        10
    141 Discop          2.806790     0.892140                               3.141372           51.2        10
    141   ACS2          3.065939     0.990435                               3.096033           46.4        10
    142   ACS1          3.080133     0.986864                               3.118538           48.0        10
    142 Discop          2.781029     0.893855                               3.114364           53.8        10
    142   ACS2          3.445191     0.984238                               3.500217           41.8        10
    143   ACS1          2.995885     0.990427                               3.027624           50.2        10
    143 Discop          2.662733     0.876070                               3.037480           56.1        10
    143   ACS2          2.828512     0.990243                               2.855831           52.5        10
    144   ACS1          3.226991     0.988201                               3.263789           46.7        10
    144 Discop          2.267809     0.859162                               2.624888           66.1        10
    144   ACS2          2.986479     0.988405                               3.023221           51.3        10
    145   ACS1          3.169992     0.983277                               3.224909           48.4        10
    145 Discop          2.705971     0.891912                               3.028806           55.3        10
    145   ACS2          2.807789     0.984211                               2.851987           53.1        10
    146   ACS1          2.900688     0.986201                               2.942226           51.4        10
    146 Discop          2.543936     0.864533                               2.929081           61.3        10
    146   ACS2          3.009243     0.991004                               3.039667           51.2        10
    147   ACS1          2.815197     0.991552                               2.837128           55.4        10
    147 Discop          2.929632     0.887349                               3.304954           52.0        10
    147   ACS2          3.054755     0.984386                               3.105684           49.8        10
    148   ACS1          3.324560     0.991560                               3.353170           46.0        10
    148 Discop          2.747037     0.890686                               3.078967           55.7        10
    148   ACS2          2.991247     0.986853                               3.031557           51.0        10
    149   ACS1          2.845361     0.989340                               2.876549           57.0        10
    149 Discop          2.785144     0.878038                               3.171191           54.6        10
    149   ACS2          3.052869     0.985572                               3.097544           50.4        10
    150   ACS1          3.073145     0.983950                               3.126470           49.6        10
    150 Discop          2.795934     0.898251                               3.110956           55.5        10
    150   ACS2          3.114543     0.990929                               3.141970           50.5        10
    151   ACS1          3.028666     0.989661                               3.063445           51.2        10
    151 Discop          2.234395     0.875130                               2.548647           73.1        10
    151   ACS2          3.140926     0.987610                               3.179888           48.6        10
    152   ACS1          3.219665     0.988407                               3.261086           48.4        10
    152 Discop          2.594487     0.884699                               2.922350           60.6        10
    152   ACS2          3.034190     0.993371                               3.054324           51.9        10
    153   ACS1          2.978230     0.983286                               3.031192           54.1        10
    153 Discop          2.605548     0.883849                               2.933218           63.1        10
    153   ACS2          3.200656     0.992865                               3.223491           48.9        10
    154   ACS1          2.834433     0.990790                               2.863009           59.1        10
    154 Discop          2.515436     0.873553                               2.864481           66.5        10
